--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3262500.0 , y= -70021.1552888222 , lat= -60.603053956587395 , lon= -91.22951749711065
x= -3262000.0 , y= -70521.30532633158 , lat= -60.60727621856453 , lon= -91.23848676861594
x= -3261500.0 , y= -71021.45536384096 , lat= -60.61149786888147 , lon= -91.24745872942889
x= -3261000.0 , y= -71521.60540135033 , lat= -60.61571890717997 , lon= -91.25643338031904
x= -3260500.0 , y= -72021.75543885972 , lat= -60.61993933310169 , lon= -91.26541072205578
x= -3260000.0 , y= -72521.9054763691 , lat= -60.6241591462881 , lon= -91.27439075540852
x= -3259500.0 , y= -73022.05551387847 , lat= -60.62837834638062 , lon= -91.28337348114661
x= -3259000.0 , y= -73522.20555138784 , lat= -60.63259693302036 , lon= -91.29235890003926
x= -3258500.0 , y= -74022.35558889722 , lat= -60.63681490584844 , lon= -91.30134701285566
x= -3258000.0 , y= -74522.50562640661 , lat= -60.64103226450573 , lon= -91.3103378203649
x= -3257500.0 , y= -75022.65566391598 , lat= -60.645249008633044 , lon= -91.31933132333603
x= -3257000.0 , y= -75522.80570142536 , lat= -60.649465137870955 , lon= -91.32832752253802
x= -3256500.0 , y= -76022.95573893473 , lat= -60.65368065185998 , lon= -91.33732641873979
x= -3256000.0 , y= -76523.1057764441 , lat= -60.657895550240454 , lon= -91.34632801271012
x= -3255500.0 , y= -77023.25581395348 , lat= -60.66210983265254 , lon= -91.3553323052178
