--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: overflow encountered in int_scalars
  rho = np.sqrt(x**2 + y**2)
/homes/lchen2/project/OISSTv2.1_NOAA/ancillary/NSIDC_mask/code/nsidc0756/xy2ll.py:56: RuntimeWarning: invalid value encountered in sqrt
  rho = np.sqrt(x**2 + y**2)
x= -3162500 , y= 3162500 , lat= -89.68792286138797 , lon= -45.0
x= -3162000 , y= 3162000 , lat= nan , lon= -45.0
x= -3161500 , y= 3161500 , lat= -89.65727793747722 , lon= -45.0
x= -3161000 , y= 3161000 , lat= nan , lon= -45.0
x= -3160500 , y= 3160500 , lat= -89.62870031630007 , lon= -45.0
x= -3160000 , y= 3160000 , lat= nan , lon= -45.0
x= -3159500 , y= 3159500 , lat= -89.60174472087489 , lon= -45.0
x= -3159000 , y= 3159000 , lat= nan , lon= -45.0
x= -3158500 , y= 3158500 , lat= -89.57610160793928 , lon= -45.0
x= -3158000 , y= 3158000 , lat= -89.90802181645986 , lon= -45.0
x= -3157500 , y= 3157500 , lat= nan , lon= -45.0
x= -3157000 , y= 3157000 , lat= -89.82664748277755 , lon= -45.0
x= -3156500 , y= 3156500 , lat= nan , lon= -45.0
x= -3156000 , y= 3156000 , lat= -89.77200664015415 , lon= -45.0
x= -3155500 , y= 3155500 , lat= nan , lon= -45.0
x= -3155000 , y= 3155000 , lat= -89.72751217496007 , lon= -45.0
x= -3154500 , y= 3154500 , lat= nan , lon= -45.0
x= -3154000 , y= 3154000 , lat= -89.68878139354189 , lon= -45.0
x= -3153500 , y= 3153500 , lat= nan , lon= -45.0
x= -3153000 , y= 3153000 , lat= -89.65387402795042 , lon= -45.0
x= -3152500 , y= 3152500 , lat= nan , lon= -45.0
x= -3152000 , y= 3152000 , lat= -89.62173010285342 , lon= -45.0
x= -3151500 , y= 3151500 , lat= nan , lon= -45.0
x= -3151000 , y= 3151000 , lat= -89.59169643844315 , lon= -45.0
x= -3150500 , y= 3150500 , lat= nan , lon= -45.0
x= -3150000 , y= 3150000 , lat= nan , lon= -45.0
x= -3149500 , y= 3149500 , lat= -89.85548522584432 , lon= -45.0
x= -3149000 , y= 3149000 , lat= nan , lon= -45.0
x= -3148500 , y= 3148500 , lat= -89.78703164915514 , lon= -45.0
x= -3148000 , y= 3148000 , lat= nan , lon= -45.0
x= -3147500 , y= 3147500 , lat= -89.7351127194917 , lon= -45.0
x= -3147000 , y= 3147000 , lat= nan , lon= -45.0
x= -3146500 , y= 3146500 , lat= -89.69127070719966 , lon= -45.0
